iter	Passed	Remaining
189	308	1316
190	309	1310
191	310	1304
192	310	1298
193	311	1292
194	311	1287
195	312	1281
196	313	1275
197	313	1270
198	314	1264
199	314	1259
200	315	1253
201	316	1248
202	316	1243
203	317	1237
204	317	1232
205	318	1227
206	318	1221
207	319	1216
208	320	1211
209	320	1206
210	321	1201
211	321	1196
212	322	1191
213	323	1186
214	323	1181
215	324	1177
216	324	1172
217	325	1167
218	325	1162
219	326	1157
220	327	1153
221	327	1148
222	328	1145
223	329	1140
224	329	1136
225	330	1132
226	331	1127
227	331	1123
228	332	1118
229	332	1114
230	333	1110
231	334	1105
232	334	1101
233	335	1097
234	335	1093
235	336	1089
236	337	1085
237	337	1080
238	338	1076
239	338	1072
240	339	1068
241	339	1064
242	340	1061
243	341	1057
244	341	1053
245	342	1049
246	342	1045
247	343	1041
248	344	1037
249	344	1033
250	345	1029
251	345	1026
252	346	1022
253	346	1018
254	347	1015
255	348	1011
256	348	1008
257	349	1004
258	349	1000
259	350	997
260	351	994
261	351	990
262	352	987
263	352	983
264	353	980
265	354	977
266	354	973
267	355	970
268	355	967
269	356	963
270	357	960
271	357	957
272	358	954
273	358	950
274	359	947
275	360	944
276	360	941
277	361	938
278	361	935
279	362	932
280	363	928
281	363	925
282	364	922
283	364	919
284	365	916
285	366	913
286	366	910
287	367	907
288	367	905
289	368	902
290	369	899
291	369	896
292	370	893
293	370	890
294	371	887
295	372	884
296	372	882
297	373	879
298	373	876
299	374	873
300	374	870
301	375	868
302	376	865
303	376	862
304	377	859
305	377	857
306	378	854
307	379	851
308	379	849
309	380	846
310	380	843
311	381	841
312	382	838
313	382	836
314	383	833
315	383	831
316	384	828
317	385	825
318	385	823
319	386	820
320	386	818
321	387	815
322	387	813
323	388	810
324	389	808
325	389	805
326	390	803
327	390	801
328	391	798
329	392	796
330	392	793
331	393	791
332	393	788
333	394	786
334	395	784
335	395	781
336	396	779
337	396	777
338	397	774
339	398	772
340	398	770
341	399	768
342	399	765
343	400	763
344	401	761
345	401	759
346	402	756
347	402	754
348	403	752
349	403	750
350	404	747
351	405	745
352	405	743
353	406	741
354	406	739
355	407	736
356	407	734
357	408	732
358	409	730
359	409	728
360	410	726
361	411	724
362	411	722
363	412	720
364	412	718
365	413	716
366	413	713
367	414	711
368	415	709
369	415	707
370	416	705
371	416	703
372	417	701
373	418	699
374	418	697
375	419	695
376	419	693
377	420	691
378	420	689
379	421	687
380	422	685
381	422	684
382	423	682
383	424	680
384	424	678
385	425	676
386	425	674
387	426	672
388	427	670
389	427	668
390	428	667
391	428	665
392	429	663
393	429	661
394	430	659
395	431	657
396	431	655
397	432	653
398	432	652
399	433	650
400	434	648
401	434	646
402	435	645
403	436	643
404	436	641
405	437	639
406	437	637
407	438	635
408	438	634
409	439	632
410	439	630
411	440	628
412	441	626
413	441	625
414	442	623
415	442	621
416	443	620
417	444	618
418	444	616
419	445	615
420	445	613
421	446	611
422	447	609
423	447	608
424	448	606
425	448	604
426	449	603
427	450	601
428	450	599
429	451	598
430	451	596
431	452	594
432	453	593
433	453	591
434	454	590
435	454	588
436	455	586
437	456	585
438	456	583
439	457	581
440	457	580
441	458	578
442	458	577
443	459	575
444	460	573
445	460	572
446	461	570
447	461	569
448	462	567
449	463	565
450	463	564
451	464	562
452	464	561
453	465	559
454	466	558
455	466	556
456	467	555
457	467	553
458	468	552
459	469	550
460	469	549
461	470	547
462	470	546
463	471	544
464	472	543
465	472	541
466	473	540
467	473	538
468	474	537
469	474	535
470	475	533
471	476	532
472	476	531
473	477	529
474	477	528
475	478	526
476	479	525
477	479	524
478	480	522
479	481	521
480	481	519
481	482	518
482	482	516
483	483	515
484	484	514
485	484	512
486	485	511
487	485	509
