iter	RMSE
304	4.903477955
305	4.901270694
306	4.899796581
307	4.896205314
308	4.892615247
309	4.890073328
310	4.88792741
311	4.884986861
312	4.882880246
313	4.881409807
314	4.880567298
315	4.878607749
316	4.874203053
317	4.87268436
318	4.869414851
319	4.86898106
320	4.866960777
321	4.863368138
322	4.861680248
323	4.859779459
324	4.85971319
325	4.857747628
326	4.855464261
327	4.851221499
328	4.849572651
329	4.847964699
330	4.846857285
331	4.843770881
332	4.839894752
333	4.838062007
334	4.83406482
335	4.833039883
336	4.829106715
337	4.828985974
338	4.825760819
339	4.824059845
340	4.821649262
341	4.820315776
342	4.819715481
343	4.81851928
344	4.815031627
345	4.811326622
346	4.809482966
347	4.807490935
348	4.805963401
349	4.80208736
350	4.798495803
351	4.797349958
352	4.796354946
353	4.794662528
354	4.791571649
355	4.788494182
356	4.78705198
357	4.784155319
358	4.78018368
359	4.779067322
360	4.776384828
361	4.77584928
362	4.774536778
363	4.772108732
364	4.769538956
365	4.769423997
366	4.768089476
367	4.76641664
368	4.764170061
369	4.760434952
370	4.757863941
371	4.756632715
372	4.753825774
373	4.751835604
374	4.749874036
375	4.746646115
376	4.743761733
377	4.742524586
378	4.741721777
379	4.740468246
380	4.736407831
381	4.734311048
382	4.731707465
383	4.72778275
384	4.726456072
385	4.724282812
386	4.722247651
387	4.719807915
388	4.718163437
389	4.716421152
390	4.714078243
391	4.711773367
392	4.710378683
393	4.708663196
394	4.706854659
395	4.703323255
396	4.700749392
397	4.699537352
398	4.698496288
399	4.697194727
400	4.693496557
401	4.691085153
402	4.688139443
403	4.685740021
404	4.685477193
405	4.682508939
406	4.681510756
407	4.678646651
408	4.677697637
409	4.675499834
410	4.673003662
411	4.671049132
412	4.668718794
413	4.667802314
414	4.667194738
415	4.666439311
416	4.66483226
417	4.662880886
418	4.661339604
419	4.660916448
420	4.658229072
421	4.657529266
422	4.656969369
423	4.655385938
424	4.654180326
425	4.652011914
426	4.649819578
427	4.649247539
428	4.647507041
429	4.644992466
430	4.642234655
431	4.641392218
432	4.640536153
433	4.638682686
434	4.637083055
435	4.635095476
436	4.634717237
437	4.632858501
438	4.632815167
439	4.629040027
440	4.628433105
441	4.625738773
442	4.624301167
443	4.620707667
444	4.618640381
445	4.615364437
446	4.614244978
447	4.612618234
448	4.612059223
449	4.610972982
450	4.608940028
451	4.605757842
452	4.60461756
453	4.601647008
454	4.599205939
455	4.597925355
456	4.595392592
457	4.593724327
458	4.593479336
459	4.591049026
460	4.589173789
461	4.58661016
462	4.583962339
463	4.58330074
464	4.581767469
465	4.580700427
466	4.579078901
467	4.578286457
468	4.576793063
469	4.575749278
470	4.575134579
471	4.573253607
472	4.571353713
473	4.569288459
474	4.569097062
475	4.567839648
476	4.565828366
477	4.564558709
478	4.562298519
479	4.560347007
480	4.558625352
481	4.556700694
482	4.555789903
483	4.554317711
484	4.553999176
485	4.55359751
486	4.552074063
487	4.551139091
488	4.548733111
489	4.547099469
490	4.545319007
491	4.542761835
492	4.54157226
493	4.538532804
494	4.536849093
495	4.535634944
496	4.533550729
497	4.531683021
498	4.530072991
499	4.528840868
500	4.527570674
501	4.527204911
502	4.526520026
503	4.524749326
504	4.521779473
505	4.520007781
506	4.517788532
507	4.516173645
508	4.51095761
509	4.509055786
510	4.507584819
511	4.506595636
512	4.505292747
513	4.502841035
514	4.501713282
515	4.501341194
516	4.498457239
517	4.496881675
518	4.495288941
519	4.494767598
520	4.492940222
521	4.491394497
522	4.49116894
523	4.490671946
524	4.488980022
525	4.488087939
526	4.48644441
527	4.486114468
528	4.484402512
529	4.484060904
530	4.483837409
531	4.482293217
532	4.480827234
533	4.479789061
534	4.478872402
535	4.477154775
536	4.475000611
537	4.472796575
538	4.471337301
539	4.469483972
540	4.468786877
541	4.466681491
542	4.466318078
543	4.464909863
544	4.464715765
545	4.463769126
546	4.462554759
547	4.462250094
548	4.46072055
549	4.458636997
550	4.45543989
551	4.455146341
552	4.454948398
553	4.45298789
554	4.45226492
555	4.45048107
556	4.448579315
557	4.446950779
558	4.444150522
559	4.442714547
560	4.440963414
561	4.440042377
562	4.43877142
563	4.437903319
564	4.437394132
565	4.436649051
566	4.434999915
567	4.433267697
568	4.433018396
569	4.431024733
570	4.429424532
571	4.425726951
572	4.42514369
573	4.42324451
574	4.422677805
575	4.419495433
576	4.418262678
577	4.416398117
578	4.413842311
579	4.413019387
580	4.411217027
581	4.411090947
582	4.409664233
583	4.406850962
584	4.406174204
585	4.405187417
586	4.401341731
587	4.400772523
588	4.39920573
589	4.398326228
590	4.395397895
591	4.393105022
592	4.390940764
593	4.389628348
594	4.388189504
595	4.386621398
596	4.386244355
597	4.385547964
598	4.384837061
599	4.384572893
600	4.384405986
601	4.383122873
602	4.381080979
603	4.379344922
604	4.379047439
605	4.378929092
606	4.377603256
607	4.376734436
608	4.376467495
609	4.37455931
610	4.374278049
611	4.372989222
612	4.372814477
613	4.371031865
614	4.36965999
615	4.368589324
616	4.368401879
617	4.367449434
618	4.366752753
619	4.365997967
620	4.365771312
621	4.363745828
622	4.362525247
623	4.361469016
624	4.359556206
625	4.357705688
626	4.356253566
627	4.355513027
628	4.354816257
629	4.353293889
630	4.351835905
631	4.350457805
632	4.349878591
633	4.349083765
634	4.348485696
635	4.347096568
636	4.345552164
637	4.344257318
638	4.343168826
639	4.341684829
640	4.340130574
641	4.338650587
642	4.338584787
643	4.337971279
644	4.336130703
645	4.335662147
646	4.335491534
647	4.333100087
648	4.33200793
649	4.331841316
650	4.329495311
651	4.328520124
652	4.327123348
653	4.326495862
654	4.325826987
655	4.324533453
656	4.323450813
657	4.322271762
658	4.320775579
659	4.320473849
660	4.318545374
661	4.317278846
662	4.315814421
663	4.315334545
664	4.313339916
665	4.311881084
666	4.310547308
667	4.309939775
668	4.30726896
669	4.305935615
670	4.305879166
671	4.304771286
672	4.304157034
673	4.303959692
674	4.302005329
675	4.300151479
676	4.298732697
677	4.298034416
678	4.297638984
679	4.296007415
680	4.295058834
681	4.293031963
682	4.291911914
683	4.289274552
684	4.287014611
685	4.286698537
686	4.285071359
687	4.284384381
688	4.283302128
689	4.282495152
690	4.281848913
691	4.281619978
692	4.281433267
693	4.280137237
694	4.279837504
695	4.277734954
696	4.274322908
697	4.273703914
698	4.272939941
699	4.27210745
700	4.271254844
701	4.270029152
702	4.268715719
703	4.268255076
704	4.267324632
705	4.26579525
706	4.264176832
707	4.262865741
708	4.2617016
709	4.260000428
710	4.258928181
711	4.258192962
712	4.256868616
713	4.254755384
714	4.253791028
715	4.253031634
716	4.251571535
717	4.248635768
718	4.246807816
719	4.246106098
720	4.244550998
721	4.243128396
722	4.241526854
723	4.240439812
724	4.23965947
725	4.238566883
726	4.23717869
727	4.235337266
728	4.234131938
729	4.232725775
730	4.232324598
731	4.229984898
732	4.228556831
733	4.228518762
734	4.228191376
735	4.22727794
736	4.225758656
737	4.224132603
738	4.222303273
739	4.221721911
740	4.220131515
741	4.218903103
742	4.218341586
743	4.217942392
744	4.217047184
745	4.216103515
746	4.215071483
747	4.213821787
748	4.213233299
749	4.212665425
750	4.209309525
751	4.208715265
752	4.206858135
753	4.205272953
754	4.204102804
755	4.20301326
756	4.201577542
757	4.200900932
758	4.199745161
759	4.198657539
760	4.197513511
761	4.196012252
762	4.194827653
763	4.193731871
764	4.19345499
765	4.192357825
766	4.192222278
767	4.191143717
768	4.189371167
769	4.186245245
770	4.186100342
771	4.183513082
772	4.181609097
773	4.181221739
774	4.179927384
775	4.179787452
776	4.178526193
777	4.17766473
778	4.177576528
779	4.17739909
780	4.176942103
781	4.176324562
782	4.176272929
783	4.174696627
784	4.173566063
785	4.172570957
786	4.17177944
787	4.171653346
788	4.170689813
789	4.170311082
790	4.169234274
791	4.167582616
792	4.166133338
793	4.165847756
794	4.165716608
795	4.16559241
796	4.164577627
797	4.163532654
798	4.163126945
799	4.161881577
800	4.16025107
801	4.159091237
802	4.158336291
803	4.156950674
804	4.156390174
805	4.155978618
806	4.154072026
807	4.153094678
808	4.152579937
809	4.152409983
810	4.150880799
811	4.15002261
812	4.149356243
813	4.148332171
814	4.147751376
815	4.146142339
816	4.144988258
817	4.144512157
818	4.143067638
819	4.14259748
820	4.14194962
821	4.14057162
822	4.139046962
823	4.139037378
824	4.138370443
825	4.137874303
826	4.137080343
827	4.136797237
828	4.136282641
829	4.136196991
830	4.134685891
831	4.134066586
832	4.133698967
833	4.132445408
834	4.13132416
835	4.131030392
836	4.129712575
837	4.128273142
838	4.127298353
839	4.125792608
840	4.12507863
841	4.124873703
842	4.124751218
843	4.123094369
844	4.122210461
845	4.120645884
846	4.118657787
847	4.117177203
848	4.115808118
849	4.114886053
850	4.11075686
851	4.110673276
852	4.10927057
853	4.108072278
854	4.107929612
855	4.107409736
856	4.106634068
857	4.104759163
858	4.104303578
859	4.104077453
860	4.103711015
861	4.103494354
862	4.102447311
863	4.102330716
864	4.101459614
865	4.100453951
866	4.099198818
867	4.098550036
868	4.098490842
869	4.097534123
870	4.096788844
871	4.095185814
872	4.09432684
873	4.094034704
874	4.092358581
875	4.092328796
876	4.092151049
877	4.091104932
878	4.091021402
879	4.090694723
880	4.089095916
881	4.088986679
882	4.088272471
883	4.087668006
884	4.086342572
885	4.084566063
886	4.083753996
887	4.082781289
888	4.082018295
889	4.081409708
890	4.079837215
891	4.077539096
892	4.077250157
893	4.075044295
894	4.073307408
895	4.072873411
896	4.072102214
897	4.071278245
898	4.070931168
899	4.070616303
900	4.070338506
901	4.069357096
902	4.069038114
903	4.068927998
904	4.068413793
905	4.068293831
906	4.067240884
907	4.065972914
908	4.065835736
909	4.065036263
910	4.064769245
911	4.064061365
912	4.063659078
913	4.063485114
914	4.063003596
915	4.062309233
916	4.06220219
917	4.061190197
918	4.059014603
919	4.057210354
920	4.056107604
921	4.055807299
922	4.05505418
923	4.05281842
924	4.051720499
925	4.051114055
926	4.049746437
927	4.049678305
928	4.048855582
929	4.047815312
930	4.047749624
931	4.046552514
932	4.044281711
933	4.042567812
934	4.041895421
935	4.040793466
936	4.040687632
937	4.040333528
938	4.039306984
939	4.037202356
940	4.036619531
941	4.035820647
942	4.034735562
943	4.033493368
944	4.032924049
945	4.032372494
946	4.03153493
947	4.029903788
948	4.029529286
949	4.029490488
950	4.026888822
951	4.026536936
952	4.025731599
953	4.025001092
954	4.024877256
955	4.024472592
956	4.02400975
957	4.02337916
958	4.023285026
959	4.021751923
960	4.019523603
961	4.015653564
962	4.014187445
963	4.012467513
964	4.010999031
965	4.009930856
966	4.007813241
967	4.007564651
968	4.007461351
969	4.007139915
970	4.005462211
971	4.004595442
972	4.004261584
973	4.003886281
974	4.002797333
975	4.001472838
976	4.000926664
977	4.000003074
978	3.998716336
979	3.998600412
980	3.998500638
981	3.996282331
982	3.996220238
983	3.995156364
984	3.994821752
985	3.994761539
986	3.994079717
987	3.993701882
988	3.992661347
989	3.991756233
990	3.991674786
991	3.991137303
992	3.990435618
993	3.989689064
994	3.98834913
995	3.987768104
996	3.986842412
997	3.985950338
998	3.985893696
999	3.984942553
